contig_length	plasmid_score	seed_score	plasmids_with_seed	false_seeds	plasmids_without_seed
500	0.01	-20	5	25	0
500	0.02	-17	5	22	0
500	0.03	-17	5	22	0
500	0.04	-16	5	21	0
500	0.05	-15	5	20	0
500	0.06	-15	5	20	0
500	0.07	-14	5	19	0
500	0.08	-14	5	19	0
500	0.09	-14	5	19	0
500	0.1	-14	5	19	0
500	0.11	-14	5	19	0
500	0.12	-14	5	19	0
500	0.13	-14	5	19	0
500	0.14	-14	5	19	0
500	0.15	-14	5	19	0
500	0.16	-14	5	19	0
500	0.17	-14	5	19	0
500	0.18	-14	5	19	0
500	0.19	-14	5	19	0
500	0.2	-14	5	19	0
500	0.21	-14	5	19	0
500	0.22	-14	5	19	0
500	0.23	-14	5	19	0
500	0.24	-14	5	19	0
500	0.25	-14	5	19	0
500	0.26	-14	5	19	0
500	0.27	-13	5	18	0
500	0.28	-13	5	18	0
500	0.29	-13	5	18	0
500	0.3	-13	5	18	0
500	0.31	-13	5	18	0
500	0.32	-13	5	18	0
500	0.33	-13	5	18	0
500	0.34	-13	5	18	0
500	0.35	-13	5	18	0
500	0.36	-13	5	18	0
500	0.37	-13	5	18	0
500	0.38	-13	5	18	0
500	0.39	-13	5	18	0
500	0.4	-13	5	18	0
500	0.41	-12	5	17	0
500	0.42	-11	5	16	0
500	0.43	-11	5	16	0
500	0.44	-11	5	16	0
500	0.45	-11	5	16	0
500	0.46	-11	5	16	0
500	0.47	-11	5	16	0
500	0.48	-10	5	15	0
500	0.49	-10	5	15	0
500	0.5	-10	5	15	0
500	0.51	-10	5	15	0
500	0.52	-10	5	15	0
500	0.53	-10	5	15	0
500	0.54	-9	5	14	0
500	0.55	-9	5	14	0
500	0.56	-9	5	14	0
500	0.57	-9	5	14	0
500	0.58	-9	5	14	0
500	0.59	-9	5	14	0
500	0.6	-9	5	14	0
500	0.61	-9	5	14	0
500	0.62	-9	5	14	0
500	0.63	-9	5	14	0
500	0.64	-9	5	14	0
500	0.65	-8	5	13	0
500	0.66	-8	5	13	0
500	0.67	-8	5	13	0
500	0.68	-8	5	13	0
500	0.69	-8	5	13	0
500	0.7	-8	5	13	0
500	0.71	-8	5	13	0
500	0.72	-8	5	13	0
500	0.73	-7	5	12	0
500	0.74	-7	5	12	0
500	0.75	-7	5	12	0
500	0.76	-7	5	12	0
500	0.77	-7	5	12	0
500	0.78	-7	5	12	0
500	0.79	-7	5	12	0
500	0.8	-7	5	12	0
500	0.81	-7	5	12	0
500	0.82	-7	5	12	0
500	0.83	-7	5	12	0
500	0.84	-7	5	12	0
500	0.85	-7	5	12	0
500	0.86	-7	5	12	0
500	0.87	-6	5	11	0
500	0.88	-6	5	11	0
500	0.89	-6	5	11	0
500	0.9	-6	5	11	0
500	0.91	-6	5	11	0
500	0.92	-6	5	11	0
500	0.93	-7	4	11	1
500	0.94	-8	2	10	3
500	0.95	-5	2	7	3
500	0.96	-5	2	7	3
500	0.97	-5	2	7	3
500	0.98	-5	2	7	3
500	0.99	-3	2	5	3
500	1.0	-1	2	3	3
550	0.01	-18	5	23	0
550	0.02	-15	5	20	0
550	0.03	-15	5	20	0
550	0.04	-14	5	19	0
550	0.05	-13	5	18	0
550	0.06	-13	5	18	0
550	0.07	-12	5	17	0
550	0.08	-12	5	17	0
550	0.09	-12	5	17	0
550	0.1	-12	5	17	0
550	0.11	-12	5	17	0
550	0.12	-12	5	17	0
550	0.13	-12	5	17	0
550	0.14	-12	5	17	0
550	0.15	-12	5	17	0
550	0.16	-12	5	17	0
550	0.17	-12	5	17	0
550	0.18	-12	5	17	0
550	0.19	-12	5	17	0
550	0.2	-12	5	17	0
550	0.21	-12	5	17	0
550	0.22	-12	5	17	0
550	0.23	-12	5	17	0
550	0.24	-12	5	17	0
550	0.25	-12	5	17	0
550	0.26	-12	5	17	0
550	0.27	-11	5	16	0
550	0.28	-11	5	16	0
550	0.29	-11	5	16	0
550	0.3	-11	5	16	0
550	0.31	-11	5	16	0
550	0.32	-11	5	16	0
550	0.33	-11	5	16	0
550	0.34	-11	5	16	0
550	0.35	-11	5	16	0
550	0.36	-11	5	16	0
550	0.37	-11	5	16	0
550	0.38	-11	5	16	0
550	0.39	-11	5	16	0
550	0.4	-11	5	16	0
550	0.41	-10	5	15	0
550	0.42	-9	5	14	0
550	0.43	-9	5	14	0
550	0.44	-9	5	14	0
550	0.45	-9	5	14	0
550	0.46	-9	5	14	0
550	0.47	-9	5	14	0
550	0.48	-8	5	13	0
550	0.49	-8	5	13	0
550	0.5	-8	5	13	0
550	0.51	-8	5	13	0
550	0.52	-8	5	13	0
550	0.53	-8	5	13	0
550	0.54	-7	5	12	0
550	0.55	-7	5	12	0
550	0.56	-7	5	12	0
550	0.57	-7	5	12	0
550	0.58	-7	5	12	0
550	0.59	-7	5	12	0
550	0.6	-7	5	12	0
550	0.61	-7	5	12	0
550	0.62	-7	5	12	0
550	0.63	-7	5	12	0
550	0.64	-7	5	12	0
550	0.65	-6	5	11	0
550	0.66	-6	5	11	0
550	0.67	-6	5	11	0
550	0.68	-6	5	11	0
550	0.69	-6	5	11	0
550	0.7	-6	5	11	0
550	0.71	-6	5	11	0
550	0.72	-6	5	11	0
550	0.73	-5	5	10	0
550	0.74	-5	5	10	0
550	0.75	-5	5	10	0
550	0.76	-5	5	10	0
550	0.77	-5	5	10	0
550	0.78	-5	5	10	0
550	0.79	-5	5	10	0
550	0.8	-5	5	10	0
550	0.81	-5	5	10	0
550	0.82	-5	5	10	0
550	0.83	-5	5	10	0
550	0.84	-5	5	10	0
550	0.85	-5	5	10	0
550	0.86	-5	5	10	0
550	0.87	-4	5	9	0
550	0.88	-4	5	9	0
550	0.89	-4	5	9	0
550	0.9	-4	5	9	0
550	0.91	-4	5	9	0
550	0.92	-4	5	9	0
550	0.93	-5	4	9	1
550	0.94	-6	2	8	3
550	0.95	-3	2	5	3
550	0.96	-3	2	5	3
550	0.97	-3	2	5	3
550	0.98	-3	2	5	3
550	0.99	-1	2	3	3
550	1.0	-1	2	3	3
600	0.01	-18	5	23	0
600	0.02	-15	5	20	0
600	0.03	-15	5	20	0
600	0.04	-14	5	19	0
600	0.05	-13	5	18	0
600	0.06	-13	5	18	0
600	0.07	-12	5	17	0
600	0.08	-12	5	17	0
600	0.09	-12	5	17	0
600	0.1	-12	5	17	0
600	0.11	-12	5	17	0
600	0.12	-12	5	17	0
600	0.13	-12	5	17	0
600	0.14	-12	5	17	0
600	0.15	-12	5	17	0
600	0.16	-12	5	17	0
600	0.17	-12	5	17	0
600	0.18	-12	5	17	0
600	0.19	-12	5	17	0
600	0.2	-12	5	17	0
600	0.21	-12	5	17	0
600	0.22	-12	5	17	0
600	0.23	-12	5	17	0
600	0.24	-12	5	17	0
600	0.25	-12	5	17	0
600	0.26	-12	5	17	0
600	0.27	-11	5	16	0
600	0.28	-11	5	16	0
600	0.29	-11	5	16	0
600	0.3	-11	5	16	0
600	0.31	-11	5	16	0
600	0.32	-11	5	16	0
600	0.33	-11	5	16	0
600	0.34	-11	5	16	0
600	0.35	-11	5	16	0
600	0.36	-11	5	16	0
600	0.37	-11	5	16	0
600	0.38	-11	5	16	0
600	0.39	-11	5	16	0
600	0.4	-11	5	16	0
600	0.41	-10	5	15	0
600	0.42	-9	5	14	0
600	0.43	-9	5	14	0
600	0.44	-9	5	14	0
600	0.45	-9	5	14	0
600	0.46	-9	5	14	0
600	0.47	-9	5	14	0
600	0.48	-8	5	13	0
600	0.49	-8	5	13	0
600	0.5	-8	5	13	0
600	0.51	-8	5	13	0
600	0.52	-8	5	13	0
600	0.53	-8	5	13	0
600	0.54	-7	5	12	0
600	0.55	-7	5	12	0
600	0.56	-7	5	12	0
600	0.57	-7	5	12	0
600	0.58	-7	5	12	0
600	0.59	-7	5	12	0
600	0.6	-7	5	12	0
600	0.61	-7	5	12	0
600	0.62	-7	5	12	0
600	0.63	-7	5	12	0
600	0.64	-7	5	12	0
600	0.65	-6	5	11	0
600	0.66	-6	5	11	0
600	0.67	-6	5	11	0
600	0.68	-6	5	11	0
600	0.69	-6	5	11	0
600	0.7	-6	5	11	0
600	0.71	-6	5	11	0
600	0.72	-6	5	11	0
600	0.73	-5	5	10	0
600	0.74	-5	5	10	0
600	0.75	-5	5	10	0
