short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,1221865,1,5061881,1221865,True,chromosome
2,527709,1,5061881,527709,True,chromosome
3,460930,1,5061881,460930,True,chromosome
4,456861,1,5061881,456861,True,chromosome
5,366649,1,5061881,366649,True,chromosome
6,356477,1,5061881,356477,True,chromosome
7,334774,1,5061881,334774,True,chromosome
8,176254,1,5061881,176254,True,chromosome
9,164964,1,5061881,164964,True,chromosome
10,151270,1,5061881,151270,True,chromosome
11,146043,1,5061881,141219,True,chromosome
12,144701,1,5061881,144701,True,chromosome
13,116047,2,230132,116047,True,plasmid
14,99301,1,5061881,99301,True,chromosome
15,88553,1,5061881,88553,True,chromosome
16,82847,3,103762,45151,True,plasmid
17,77698,1,5061881,77698,True,chromosome
18,57911,1,5061881,57911,True,chromosome
19,43363,1,5061881,43363,True,chromosome
20,37183,1,5061881,37183,True,chromosome
21,35077,4,35077,35077,True,plasmid
22,25009,1,5061881,25009,True,chromosome
23,21779,2,230132,21779,True,plasmid
24,18085,2,230132,13983,True,plasmid
25,15268,2,230132,15268,True,plasmid
26,13321,1,5061881,13321,True,chromosome
27,13311,2,230132,13311,True,plasmid
28,10945,3,103762,10945,True,plasmid
29,8606,2,230132,8606,True,plasmid
30,7723,2,230132,7723,True,plasmid
31,7206,2,230132,7206,True,plasmid
32,6790,5,8918,6790,False,no_label
33,3870,2,230132,3870,True,plasmid
34,3370,6,3370,3370,True,plasmid
35,3154,1,5061881,3154,True,chromosome
36,3030,1,5061881,3030,True,chromosome
37,3012,1,5061881,3012,True,chromosome
38,2707,3,103762,2707,True,plasmid
39,2001,5,8918,2001,False,no_label
40,1840,1,5061881,1840,True,chromosome
41,1662,2,230132,1662,True,plasmid
42,1341,1,5061881,1341,True,chromosome
43,1336,1,5061881,1336,True,chromosome
44,1255,2,230132,1255,True,plasmid
45,1068,2,230132,1068,True,plasmid
46,1062,1,5061881,1062,True,chromosome
47,1027,2,230132,1027,True,plasmid
48,861,1,5061881,861,True,chromosome
49,841,1,5061881,841,True,chromosome
50,841,1,5061881,841,True,chromosome
51,819,1,5061881,819,True,chromosome
52,774,1,5061881,774,True,chromosome
53,774,1,5061881,774,True,chromosome
54,767,2,230132,767,True,plasmid
55,766,1,5061881,766,True,chromosome
56,766,1,5061881,766,True,chromosome
57,731,1,5061881,731,True,chromosome
58,722,1,5061881,722,True,chromosome
59,686,1,5061881,686,True,chromosome
60,659,1,5061881,659,True,chromosome
61,644,1,5061881,644,True,chromosome
62,643,1,5061881,643,True,chromosome
63,620,3,103762,620,True,plasmid
64,611,2,230132,611,True,plasmid
65,601,1,5061881,601,True,chromosome
66,586,2,230132,586,True,plasmid
67,526,NA,NA,526,NA,ambiguous
68,498,NA,NA,498,NA,ambiguous
69,487,1,5061881,487,True,chromosome
70,463,1,5061881,463,True,chromosome
71,459,3,103762,459,True,plasmid
72,434,1,5061881,434,True,chromosome
73,434,1,5061881,434,True,chromosome
74,433,1,5061881,433,True,chromosome
75,430,1,5061881,430,True,chromosome
76,417,1,5061881,417,True,chromosome
77,414,1,5061881,414,True,chromosome
78,410,1,5061881,410,True,chromosome
79,410,1,5061881,410,True,chromosome
80,377,1,5061881,377,True,chromosome
81,355,NA,NA,355,NA,ambiguous
82,350,1,5061881,350,True,chromosome
83,347,1,5061881,347,True,chromosome
84,343,1,5061881,343,True,chromosome
85,343,1,5061881,343,True,chromosome
86,343,1,5061881,343,True,chromosome
87,343,1,5061881,343,True,chromosome
88,337,1,5061881,337,True,chromosome
89,331,2,230132,331,True,plasmid
90,331,3,103762,331,True,plasmid
91,328,1,5061881,328,True,chromosome
92,328,1,5061881,328,True,chromosome
93,301,1,5061881,301,True,chromosome
94,291,1,5061881,291,True,chromosome
95,291,1,5061881,291,True,chromosome
96,286,1,5061881,286,True,chromosome
97,284,1,5061881,284,True,chromosome
98,279,1,5061881,279,True,chromosome
99,278,1,5061881,278,True,chromosome
100,266,1,5061881,266,True,chromosome
101,265,1,5061881,265,True,chromosome
102,261,1,5061881,261,True,chromosome
103,250,1,5061881,250,True,chromosome
104,250,1,5061881,250,True,chromosome
105,248,1,5061881,248,True,chromosome
106,242,1,5061881,242,True,chromosome
107,226,1,5061881,226,True,chromosome
108,225,1,5061881,225,True,chromosome
109,223,1,5061881,223,True,chromosome
110,221,1,5061881,221,True,chromosome
111,220,1,5061881,220,True,chromosome
112,216,2,230132,216,True,plasmid
113,206,2,230132,206,True,plasmid
114,200,1,5061881,200,True,chromosome
115,199,2,230132,199,True,plasmid
116,197,1,5061881,197,True,chromosome
117,195,NA,NA,195,NA,ambiguous
118,188,NA,NA,188,NA,ambiguous
119,187,1,5061881,187,True,chromosome
120,182,1,5061881,182,True,chromosome
121,181,1,5061881,181,True,chromosome
122,181,1,5061881,181,True,chromosome
123,179,1,5061881,179,True,chromosome
124,177,1,5061881,177,True,chromosome
125,176,2,230132,176,True,plasmid
126,173,NA,NA,173,NA,ambiguous
127,172,1,5061881,172,True,chromosome
128,166,1,5061881,166,True,chromosome
129,166,1,5061881,166,True,chromosome
130,165,1,5061881,165,True,chromosome
131,164,1,5061881,164,True,chromosome
132,161,1,5061881,161,True,chromosome
133,161,1,5061881,161,True,chromosome
134,158,1,5061881,158,True,chromosome
135,153,1,5061881,153,True,chromosome
136,153,2,230132,153,True,plasmid
137,152,1,5061881,152,True,chromosome
138,149,1,5061881,149,True,chromosome
139,149,2,230132,149,True,plasmid
140,149,1,5061881,149,True,chromosome
141,148,1,5061881,148,True,chromosome
142,148,1,5061881,148,True,chromosome
143,147,NA,NA,147,NA,ambiguous
144,145,1,5061881,145,True,chromosome
145,144,NA,NA,144,NA,ambiguous
146,143,1,5061881,143,True,chromosome
147,142,1,5061881,142,True,chromosome
148,139,1,5061881,139,True,chromosome
149,139,1,5061881,139,True,chromosome
150,138,1,5061881,138,True,chromosome
151,136,1,5061881,136,True,chromosome
152,135,1,5061881,135,True,chromosome
153,134,1,5061881,134,True,chromosome
154,131,1,5061881,131,True,chromosome
155,131,3,103762,131,True,plasmid
156,131,1,5061881,131,True,chromosome
157,129,1,5061881,129,True,chromosome
158,128,1,5061881,128,True,chromosome
159,127,1,5061881,127,True,chromosome
160,124,1,5061881,124,True,chromosome
161,121,1,5061881,121,True,chromosome
162,121,1,5061881,121,True,chromosome
163,119,1,5061881,119,True,chromosome
164,119,1,5061881,119,True,chromosome
165,114,1,5061881,114,True,chromosome
166,111,1,5061881,111,True,chromosome
167,111,1,5061881,111,True,chromosome
168,110,3,103762,110,True,plasmid
169,110,1,5061881,110,True,chromosome
170,108,1,5061881,108,True,chromosome
171,106,1,5061881,106,True,chromosome
172,106,1,5061881,106,True,chromosome
173,102,2,230132,102,True,plasmid
