number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
16 S16_LN:i:111539_dp:f:0.9236398330207624 0.04 0.96 Plasmid 111539 0.92 2
22 S22_LN:i:38475_dp:f:1.1085871266121692 0.03 0.97 Plasmid 38475 1.11 1
26 S26_LN:i:20888_dp:f:0.9271511032699465 0.02 0.98 Plasmid 20888 0.93 1
27 S27_LN:i:18807_dp:f:1.2124653901898756 0.04 0.96 Plasmid 18807 1.21 1
29 S29_LN:i:6727_dp:f:0.9450580100508613 0.06 0.94 Plasmid 6727 0.95 1
31 S31_LN:i:4143_dp:f:0.927421886598195 0.05 0.95 Plasmid 4143 0.93 1
32 S32_LN:i:4082_dp:f:0.998560201545565 0.07 0.93 Plasmid 4082 1 1
33 S33_LN:i:3881_dp:f:0.9842305714048786 0.05 0.95 Plasmid 3881 0.98 1
35 S35_LN:i:2656_dp:f:0.8595634371475849 0.04 0.96 Plasmid 2656 0.86 1
36 S36_LN:i:2231_dp:f:1.1973279430502202 0.11 0.89 Plasmid 2231 1.2 1
40 S40_LN:i:1485_dp:f:0.8231386438464497 0.38 0.62 Plasmid 1485 0.82 1
43 S43_LN:i:1123_dp:f:1.0950052861710755 0.37 0.63 Plasmid 1123 1.1 1
